station_1,station_2,station_3,between_ratio,perimeter,delta,tau,cutoff,perimeter_norm,trips_between_norm,combined_between_ratio_distance,station1_name,station2_name,station3_name
A32004,B32007,M32017,0.002997002997002997,16.08902732271834,30min,0,0,1.0,0.9714202847843401,0.9714202847843401,Longwood Ave at Binney St,Seaport Square - Seaport Blvd at Northern Ave,Harvard Square at Brattle St / Eliot St
A32004,C32034,M32017,0.0019880715705765406,15.880715718432658,30min,0,0,0.9866385115962798,0.9824150410117338,0.9692885138336153,Longwood Ave at Binney St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harvard Square at Brattle St / Eliot St
D32046,B32007,M32017,0.0033277870216306157,13.954044925108125,30min,0,0,0.8630583128307446,0.9678155901346963,0.8352812903529424,Boylston St at Exeter St,Seaport Square - Seaport Blvd at Northern Ave,Harvard Square at Brattle St / Eliot St
B32007,D32024,M32017,0.0021645021645021645,13.523011595970033,30min,0,0,0.8354110444577489,0.9804924015533346,0.8191141812645578,Seaport Square - Seaport Blvd at Northern Ave,Beacon St at Charles St,Harvard Square at Brattle St / Eliot St
B32007,M32061,M32017,0.002641310089804543,13.585250976918596,30min,0,0,0.8394031925171459,0.9752964221550547,0.818666930407503,Seaport Square - Seaport Blvd at Northern Ave,Mass Ave at Albany St,Harvard Square at Brattle St / Eliot St
A32004,M32005,C32034,0.0030425963488843813,12.017967638265189,30min,1,0,0.7388747643166594,0.9709234345758961,0.7173908238917868,Longwood Ave at Binney St,MIT Stata Center at Vassar St / Main St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
M32037,A32004,C32034,0.005402971634398919,11.950046367626104,30min,1,0,0.7345181694302532,0.9452014180050415,0.6942676152959426,Ames St at Main St,Longwood Ave at Binney St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
A32004,D32024,C32034,0.0024473813020068525,10.82842512583799,30min,1,0,0.6625753255982537,0.9774097468979083,0.6476075812937884,Longwood Ave at Binney St,Beacon St at Charles St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
A32004,D32010,C32034,0.009191176470588236,11.652739597413085,30min,1,0,0.7154483678406075,0.9039197336185638,0.6467078980763182,Longwood Ave at Binney St,Cross St at Hanover St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
M32005,B32034,C32034,0.0009857072449482504,10.236839521256101,30min,1,0,0.6246299397781321,0.9933382327397916,0.6204688004955722,MIT Stata Center at Vassar St / Main St,Boylston St at Jersey St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
B32002,A32046,M32017,0.0019047619047619048,13.87221319014808,30min,2,0,0.8578094752469034,0.983322901985261,0.843503702550239,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,Canal St at Causeway St,Harvard Square at Brattle St / Eliot St
A32004,A32046,M32017,0.008620689655172414,13.829811767525197,30min,2,0,0.855089770223174,0.9101365718517184,0.7782484720963931,Longwood Ave at Binney St,Canal St at Causeway St,Harvard Square at Brattle St / Eliot St
B32015,A32046,M32017,0.0063066614111154905,12.815484218282812,30min,2,0,0.790028940639291,0.9353535249372456,0.7389563544293988,Landmark Center - Brookline Ave at Park Dr,Canal St at Causeway St,Harvard Square at Brattle St / Eliot St
B32034,A32046,M32017,0.0048134777376654635,12.520274799613262,30min,2,0,0.7710936670248039,0.9516253845129311,0.7337923073779651,Boylston St at Jersey St,Canal St at Causeway St,Harvard Square at Brattle St / Eliot St
B32005,A32046,M32017,0.006979449398991857,12.55756885060147,30min,2,0,0.7734857758634613,0.9280218671796718,0.7178117139537266,Christian Science Plaza - Massachusetts Ave at Westland Ave,Canal St at Causeway St,Harvard Square at Brattle St / Eliot St
A32004,C32034,M32061,0.0009578544061302681,12.18352876985664,1h,0,0,0.7494941589848133,0.9936417570081646,0.7447286930010265,Longwood Ave at Binney St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Mass Ave at Albany St
A32004,B32007,M32061,0.0028873917228103944,12.394512950303625,1h,0,0,0.7630270713258113,0.9726147656062828,0.7421313961288023,Longwood Ave at Binney St,Seaport Square - Seaport Blvd at Northern Ave,Mass Ave at Albany St
A32004,M32005,B32007,0.004077471967380225,12.228020604575057,1h,0,0,0.7523479468747817,0.9596459534180977,0.7219876627807982,Longwood Ave at Binney St,MIT Stata Center at Vassar St / Main St,Seaport Square - Seaport Blvd at Northern Ave
A32004,M32005,C32034,0.0030425963488843813,12.017967638265189,1h,0,0,0.7388747643166594,0.9709234345758961,0.7173908238917868,Longwood Ave at Binney St,MIT Stata Center at Vassar St / Main St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
M32037,A32004,B32007,0.006331976481230212,12.159418874499629,1h,0,0,0.7479477060719655,0.9350776558172038,0.6993891876676285,Ames St at Main St,Longwood Ave at Binney St,Seaport Square - Seaport Blvd at Northern Ave
A32004,C32034,M32017,0.0019880715705765406,15.880715718432658,1h,1,0,0.9866385115962798,0.9824150410117338,0.9692885138336153,Longwood Ave at Binney St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harvard Square at Brattle St / Eliot St
A32004,D32010,M32017,0.00441306266548985,14.438271044322065,1h,1,0,0.894117464330449,0.9559888783966911,0.8547663518801595,Longwood Ave at Binney St,Cross St at Hanover St,Harvard Square at Brattle St / Eliot St
D32005,C32034,M32017,0.0034542314335060447,13.680529232336397,1h,1,0,0.8455145145880265,0.9664376714293482,0.817137078638168,Copley Square - Dartmouth St at Boylston St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harvard Square at Brattle St / Eliot St
D32046,C32034,M32017,0.005515719801434087,13.739617766544301,1h,1,0,0.8493045615578966,0.9439727531233976,0.8017203652140678,Boylston St at Exeter St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Harvard Square at Brattle St / Eliot St
