start_station_id,station_name,delta,tau,downtime_fraction,num_starts,quantile_difference,starts_norm,downtime_norm,quantile_norm,norm_score
M32006,MIT at Mass Ave / Amherst St,30min,0,0.941728064,1388,329.5,0.828742515,0.544973545,0.612352941,0.276564764
M32011,Central Square at Mass Ave / Essex St,30min,0,0.933690556,1199,218.25,0.715568862,0.481481481,0.743235294,0.256069201
M32037,Ames St at Main St,30min,0,0.959812458,848,243.5,0.505389222,0.687830688,0.713529412,0.248038675
B32062,Forsyth St at Huntington Ave,30min,0,0.947756196,1037,287,0.618562874,0.592592593,0.662352941,0.242789297
M32042,MIT Vassar St,30min,0,0.968519759,838,335.75,0.499401198,0.756613757,0.605,0.228601559
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,30min,0,0.946416611,1013,299.5,0.604191617,0.582010582,0.647647059,0.227742442
M32005,MIT Stata Center at Vassar St / Main St,30min,0,0.975217683,599,212.5,0.356287425,0.80952381,0.75,0.216317365
A32010,South Station - 700 Atlantic Ave,30min,0,0.924313463,1103,208.25,0.658083832,0.407407407,0.755,0.202421712
C32036,Seaport Blvd at Sleeper St,30min,0,0.945077026,810,252,0.482634731,0.571428571,0.703529412,0.194027273
B32000,Newbury St at Hereford St,30min,0,0.950435365,755,269.25,0.449700599,0.613756614,0.683235294,0.18857753
M32006,MIT at Mass Ave / Amherst St,1h,0,0.894243641,1388,329.5,0.828742515,0.546511628,0.612352941,0.277345315
M32011,Central Square at Mass Ave / Essex St,1h,0,0.876840696,1199,218.25,0.715568862,0.470930233,0.743235294,0.250457667
M32037,Ames St at Main St,1h,0,0.925033467,848,243.5,0.505389222,0.680232558,0.713529412,0.245298713
B32062,Forsyth St at Huntington Ave,1h,0,0.899598394,1037,287,0.618562874,0.569767442,0.662352941,0.233437675
M32042,MIT Vassar St,1h,0,0.941097724,838,335.75,0.499401198,0.75,0.605,0.226603293
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,1h,0,0.900937082,1013,299.5,0.604191617,0.575581395,0.647647059,0.225226683
M32005,MIT Stata Center at Vassar St / Main St,1h,0,0.951807229,599,212.5,0.356287425,0.796511628,0.75,0.212840308
A32010,South Station - 700 Atlantic Ave,1h,0,0.863453815,1103,208.25,0.658083832,0.412790698,0.755,0.205096418
C32036,Seaport Blvd at Sleeper St,1h,0,0.895582329,810,252,0.482634731,0.552325581,0.703529412,0.187540896
B32016,Beacon St at Massachusetts Ave,1h,0,0.904953146,878,339,0.523353293,0.593023256,0.601176471,0.186581535
M32006,MIT at Mass Ave / Amherst St,2h,0,0.810160428,1388,329.5,0.828742515,0.481481481,0.612352941,0.244343626
M32011,Central Square at Mass Ave / Essex St,2h,0,0.799465241,1199,218.25,0.715568862,0.451851852,0.743235294,0.240311097
M32037,Ames St at Main St,2h,0,0.86631016,848,243.5,0.505389222,0.637037037,0.713529412,0.229721973
M32042,MIT Vassar St,2h,0,0.893048128,838,335.75,0.499401198,0.711111111,0.605,0.214853493
B32062,Forsyth St at Huntington Ave,2h,0,0.820855615,1037,287,0.618562874,0.511111111,0.662352941,0.209405769
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,2h,0,0.823529412,1013,299.5,0.604191617,0.518518519,0.647647059,0.202897812
M32005,MIT Stata Center at Vassar St / Main St,2h,0,0.906417112,599,212.5,0.356287425,0.748148148,0.75,0.199916833
A32010,South Station - 700 Atlantic Ave,2h,0,0.764705882,1103,208.25,0.658083832,0.355555556,0.755,0.176658949
C32036,Seaport Blvd at Sleeper St,2h,0,0.823529412,810,252,0.482634731,0.518518519,0.703529412,0.176061785
B32016,Beacon St at Massachusetts Ave,2h,0,0.836898396,878,339,0.523353293,0.555555556,0.601176471,0.174793159
M32006,MIT at Mass Ave / Amherst St,4h,0,0.686170213,1388,329.5,0.828742515,0.425742574,0.612352941,0.216057083
M32037,Ames St at Main St,4h,0,0.760638298,848,243.5,0.505389222,0.564356436,0.713529412,0.203512616
M32011,Central Square at Mass Ave / Essex St,4h,0,0.654255319,1199,218.25,0.715568862,0.366336634,0.743235294,0.194831022
M32042,MIT Vassar St,4h,0,0.79787234,838,335.75,0.499401198,0.633663366,0.605,0.191453608
